salary_in_usd,work_models_On-site,work_models_Remote,comp_is_US,company_size_encoded,domain_expertise_Data Engineering,domain_expertise_Data Science,domain_expertise_Machine Learning / AI,domain_expertise_Other,exp_level
11.736,1,0,1,1,1,0,0,0,1
12.315,1,0,1,1,0,0,1,0,2
12.053,1,0,1,1,0,0,1,0,2
12.168,0,1,1,1,0,0,0,0,1
11.716,0,1,1,1,0,0,0,0,1
12.001,0,1,1,1,0,0,0,0,1
11.676,0,1,1,1,0,0,0,0,1
11.849,1,0,1,1,0,0,0,0,0
11.513,1,0,1,1,0,0,0,0,0
12.044,0,1,1,1,1,0,0,0,2
11.562,0,1,1,1,1,0,0,0,2
11.842,1,0,1,1,0,1,0,0,1
12.364,1,0,1,1,1,0,0,0,1
11.728,1,0,1,1,1,0,0,0,1
11.943,0,1,1,1,0,1,0,0,2
11.377,0,1,1,1,0,1,0,0,2
12.55,1,0,1,1,1,0,0,0,1
12.245,1,0,1,1,1,0,0,0,1
11.995,0,1,1,1,1,0,0,0,2
11.768,0,1,1,1,1,0,0,0,2
11.835,1,0,1,1,0,1,0,0,1
11.362,1,0,1,1,0,1,0,0,1
11.608,1,0,1,1,0,1,0,0,0
11.408,1,0,1,1,0,1,0,0,0
12.452,1,0,1,1,1,0,0,0,1
12.078,1,0,1,1,1,0,0,0,1
11.695,0,1,1,1,0,1,0,0,0
11.562,0,1,1,1,0,1,0,0,0
12.255,1,0,1,1,1,0,0,0,2
11.849,1,0,1,1,1,0,0,0,2
11.918,0,1,1,1,1,0,0,0,1
11.775,1,0,1,1,1,0,0,0,1
11.958,1,0,1,1,0,0,0,0,0
11.728,1,0,1,1,0,0,0,0,0
12.15,0,1,1,1,1,0,0,0,1
11.849,0,1,1,1,1,0,0,0,1
11.973,0,1,1,1,0,0,0,0,1
11.386,0,1,1,1,0,0,0,0,1
11.617,1,0,1,1,0,0,0,1,2
11.28,1,0,1,1,0,0,0,1,2
12.301,0,1,1,1,0,0,0,0,1
12.044,0,1,1,1,0,0,0,0,1
12.183,0,1,1,1,0,1,0,0,1
11.859,0,1,1,1,0,1,0,0,1
11.848,1,0,1,1,1,0,0,0,1
11.465,1,0,1,1,1,0,0,0,1
10.166,0,1,0,2,0,1,0,0,0
11.262,1,0,0,1,0,1,0,0,1
11.107,1,0,0,1,0,1,0,0,1
11.35,1,0,0,1,0,0,0,0,0
10.977,1,0,0,1,0,0,0,0,0
11.462,0,1,0,1,1,0,0,0,1
11.29,0,1,0,1,1,0,0,0,1
11.513,0,1,0,1,0,0,1,0,2
11.456,0,1,0,1,0,0,1,0,2
11.068,1,0,0,1,0,0,0,1,2
10.845,1,0,0,1,0,0,0,1,2
10.82,1,0,0,1,1,0,0,0,0
10.532,1,0,0,1,1,0,0,0,0
10.938,1,0,0,1,0,0,0,0,0
12.17,1,0,0,1,0,1,0,0,2
11.473,1,0,0,1,0,1,0,0,2
10.82,1,0,0,1,0,0,0,0,2
10.686,1,0,0,1,0,0,0,0,2
12.073,1,0,0,1,1,0,0,0,1
11.736,1,0,0,1,1,0,0,0,1
11.918,0,1,0,1,0,0,1,0,1
11.631,0,1,0,1,0,0,1,0,1
11.783,1,0,0,1,1,0,0,0,1
11.554,1,0,0,1,1,0,0,0,1
10.82,0,1,0,1,0,0,0,0,0
10.686,0,1,0,1,0,0,0,0,0
10.742,0,1,0,1,1,0,0,0,2
10.309,0,1,0,1,1,0,0,0,2
11.848,0,1,0,1,0,0,1,0,2
11.443,0,1,0,1,0,0,1,0,2
12.264,1,0,0,1,0,0,1,0,1
11.444,1,0,0,1,0,0,1,0,1
12.264,1,0,0,1,0,0,1,0,1
11.444,1,0,0,1,0,0,1,0,1
9.721,0,0,0,1,0,1,0,0,0
12.051,0,1,0,1,1,0,0,0,1
11.432,0,1,0,1,1,0,0,0,1
11.775,1,0,0,1,1,0,0,0,1
11.608,1,0,0,1,1,0,0,0,1
11.835,1,0,0,1,0,1,0,0,2
11.215,1,0,0,1,0,1,0,0,2
12.324,1,0,0,1,0,1,0,0,1
11.938,1,0,0,1,0,1,0,0,1
12.367,1,0,0,1,0,1,0,0,1
11.938,1,0,0,1,0,1,0,0,1
12.255,1,0,0,1,1,0,0,0,1
11.849,1,0,0,1,1,0,0,0,1
12.623,0,1,0,1,0,0,1,0,1
12.286,0,1,0,1,0,0,1,0,1
12.051,1,0,0,1,0,0,0,1,1
11.432,1,0,0,1,0,0,0,1,1
11.614,1,0,0,1,0,1,0,0,2
10.995,1,0,0,1,0,1,0,0,2
11.264,1,0,0,1,0,0,0,0,2
10.897,1,0,0,1,0,0,0,0,2
11.775,1,0,0,1,0,1,0,0,1
11.695,1,0,0,1,0,1,0,0,1
11.849,1,0,0,1,0,0,0,0,1
11.581,1,0,0,1,0,0,0,0,1
12.319,1,0,0,1,0,1,0,0,2
11.891,1,0,0,1,0,1,0,0,2
11.798,1,0,0,1,1,0,0,0,2
10.973,1,0,0,1,1,0,0,0,2
11.216,1,0,0,1,0,1,0,0,2
11.16,1,0,0,1,0,1,0,0,2
11.339,0,1,0,1,0,0,1,0,2
10.779,0,1,0,1,0,0,1,0,2
11.184,0,1,0,1,0,0,1,0,2
12.463,1,0,1,1,0,0,0,1,1
11.895,1,0,1,1,0,0,0,1,1
12.155,0,1,1,1,0,1,0,0,2
11.983,0,1,1,1,0,1,0,0,2
11.408,0,1,1,1,0,1,0,0,0
11.082,0,1,1,1,0,1,0,0,0
11.983,0,1,1,1,1,0,0,0,2
11.775,0,1,1,1,1,0,0,0,2
11.35,1,0,1,1,0,0,0,0,2
11.082,1,0,1,1,0,0,0,0,2
11.876,1,0,1,1,1,0,0,0,1
11.47,1,0,1,1,1,0,0,0,1
12.02,1,0,1,1,0,0,1,0,2
11.2,1,0,1,1,0,0,1,0,2
11.644,1,0,1,1,1,0,0,0,2
11.184,1,0,1,1,1,0,0,0,2
11.538,1,0,1,1,0,0,0,0,2
12.463,1,0,1,1,0,0,1,0,1
11.983,1,0,1,1,0,0,1,0,1
12.224,0,1,1,1,0,1,0,0,1
12.119,0,1,1,1,0,1,0,0,1
11.312,1,0,1,1,0,0,0,1,2
11.168,1,0,1,1,0,0,0,1,2
11.775,1,0,1,1,0,0,0,0,1
11.3,1,0,1,1,0,0,0,0,1
12.278,1,0,1,1,0,0,1,0,1
11.898,1,0,1,1,0,0,1,0,1
12.397,1,0,1,1,0,0,0,1,1
11.573,1,0,1,1,0,0,0,1,1
12.014,1,0,1,1,0,0,1,0,2
11.813,1,0,1,1,0,0,1,0,2
11.226,0,1,1,1,0,0,0,0,0
10.631,0,1,1,1,0,0,0,0,0
11.884,0,1,1,1,1,0,0,0,1
11.695,0,1,1,1,1,0,0,0,1
12.123,1,0,1,1,1,0,0,0,1
11.626,1,0,1,1,1,0,0,0,1
12.525,1,0,1,1,0,0,1,0,1
12.044,1,0,1,1,0,0,1,0,1
11.513,1,0,1,1,0,1,0,0,0
11.156,1,0,1,1,0,1,0,0,0
11.818,1,0,1,1,0,1,0,0,2
11.595,1,0,1,1,0,1,0,0,2
12.612,1,0,1,1,0,1,0,0,1
